College / Folder,File,Prompt,Response,Topic Cluster
Brown,Brown PLME,Discuss your interest in medicine and how the Brown PLME program aligns with your goals.,"Despite how much I love Harry Potter, by the time I was 13, I’d learnt that wizards aren't real. So, I looked for the second closest thing: physicians. Physicians give patients potions (prescriptions for medicines) and cure them. Physicians wave their wands (scalpels and scissors) and remove tumors from brains. And most importantly, just like Harry, physicians give people hope in tough situations. Harry changed people's lives through magic. As a physician, I'd change them through science and surgery.        I believe that impacting others is what gives our lives meaning. As a physician, I will impact every patient I interact with. To me, the chance to save even a single person is enough to become a physician. But I want to be a neurosurgeon, who quite literally pulls patients from the jaws of death. In fact, neurosurgeons can save over 100 lives per year. I also know that as a neurosurgeon, I’d never get bored; No brain is the exact same, and so no surgery would be the exact same. And with the field of neuroscience constantly growing, I know I’d never stop learning. The path to becoming a neurosurgeon is a long journey, but the Brown PLME program would allow me to begin it sooner. By earning my MD through an integrated eight-year pathway directly connected to Brown’s open curriculum, I could move directly into medical school without the gap year most applicants take. Since neurosurgery is what I want to dedicate my life to, I hope to begin that journey at Brown. I would focus on computational biology, researching through projects in the Carney Institute for Brain Science, working in the Center for Neurobiology of Cells and Circuits or the Brown Multimodal Neuroimaging Core, using neuroimaging and electrophysiology to study neural circuits and surgical targets, similar to my research at RISE. The Webb Lab’s research on reactivating neural stem cells seems very exciting, especially its potential in reversing dementia, and surprisingly, developing personalized medicine. Furthermore, through Project Sunshine, I could teach with pediatric patients chess, complementing clinical shadowing in the Department of Neurosurgery at Rhode Island Hospital. While caring for children, I’d be able to give them back some of that joy and innocence that disease robbed them of. On the technical side, at The Warren Alpert Medical School, I would have access to rotations in brain tumor, spinal, and cerebrovascular surgery, as well as access to Brown’s neurosurgical and neuroanatomy simulation labs, allowing me to practice microsurgery and stereotactic techniques. Neurosurgery is the field in medicine with the most opportunity for discovery. I want to be at the frontier of this discovery, forging the way for the next generation of neurologists/surgeons while giving as many patients as I can hope in their future. Brown PLME is where I can start this journey, equipping me to make a real impact as a neurologist and surgeon.",Healthcare and Community Service
Brown,Joy - 250,"Brown students care deeply about their work and the world around them. Students find contentment, satisfaction, and meaning in daily interactions and major discoveries. Whether big or small, mundane or spectacular, tell us about something that brings you joy. (250 word limit)","I try to work on my time-travel sci-fi novel every night. My face illuminated only by the glow of my MacBook, I get lost in ‘Stonebridge’ (the setting of my novel), while trying to write a character much smarter than myself. Surprisingly, writing my novel has also strengthened my bond with my brother. Testing whether certain clues in my mystery subplot make sense with my brother has given us an arsenal of secret codes between ourselves: “hollow” means our mum is in a bad mood, comparing her to a quite strict character, Ms. Holloway, and “airvent” means ‘listen carefully’, referring to how the protagonist is caught eavesdropping through air vents in the first chapter.

Despite this, I mostly write for myself. Writing my novel has taught me a lot about myself: I’m a passionate plotter and I hate dishonesty, even in the characters I’ve created. Yet, while writing my novel, I rarely follow the outline I’ve created to a dot. Instead, I go on a journey, exploring a world while creating it, only referring to the outline when I’m stuck. Writing feels like a conversation between my imagination and myself, where I can dream, and remember those dreams, and revise those dreams. More importantly, writing gives me a space to lose myself and find myself, and there lies a great joy in both.",Personal Growth Through Relationships
Brown,Teaching Class - 100,"If you could teach a class on any one thing, whether academic or otherwise, what would it be? (100 word limit)","CHE-55: Middlegame Masterclass

Course Description: Life is quite similar to a chess match. The opening is filled with rules we have to follow. The strategy for the endgame is based on our past moves. But the best path to take through the middlegame isn’t quite clear. In this course, we will learn various techniques on identifying and correcting weaknesses in our position, securing our king, and most importantly, coming up with the best game plan possible. Remember, as is life, so is a chess match: not its start or end, but rather its messy middle, that gives it meaning.",Passion for Teaching Chess
Brown,Open Curriculum - 250,"Brown's Open Curriculum allows students to explore broadly while also diving deeply into their academic pursuits. Tell us about any academic interests that excite you, and how you might pursue them at Brown. (250 word limit)*","My journey with computational neuroscience first started during early mornings, coding algorithms that learnt about properties of drugs that inhibited Alzheimer’s, while I learnt about activation and loss functions. At RISE, I learnt to model neuron interactions through circuit schematics. Eventually, I derived an index that predicted Parkinson’s likelihood.

During my high school, I also started a neuroscience blog, Behind the Brain, as a way to relax while learning. I interviewed neuroscience professors and researchers, and researched and wrote posts on basic topics and recent news. Recently, I’ve started to write a time-travel based novel, shifting some of my writing to a more creative outlet, one that allows me to relax while exploring a completely different mindset.

Brown allows all these interests to coexist. Building from my experience at RISE, I'd contribute to CLPS and NEUR labs that use machine learning to analyze neural data, perhaps introducing a focus into social media addiction. Courses like CLPS 1520 (Computational Cognitive Neuroscience), CSCI 1470 (Deep Learning), would teach me to build better predictive models for neurodegeneration, building on my prior experience building AI models. At the same time, fiction workshops like LITR 1110, would help me grow as a writer through mini-challenges (writing a story on a Mobius Strip seems fun!). I see a future for myself in which I’m a physician who researches neurodegenerative diseases, codes neural networks and models, and writes fiction, and Brown University’s Open Curriculum is the best path I see leading to this future.",Neuroscience and Artificial Intelligence Integration
Brown,PLME #2 public,How has your personal background uniquely shaped your perspective on the field of medicine?,"Placebo effect, translation inequities. Difficulties with communication in India, in Spokane, with Spanish-speaking patients and patients with cognitive challenges. Shaped not only your awareness of these inequities, but the importance of bringing. patients into decision-making, paying attention to each patient’s humanity, not just symptoms/disease. Inequities intersect here. In India, doctors don’t set up in villages, don’t create sustainable practices in villages, b/c you can’t make enough money to become a doctor and work there. It’s a bit iffy, also, b/c of the caste system, and these villages often have populations with lower castes, and too often some doctors from higher castes, more education, will have a sense of superiority, rush through. In Spokane, probably more racial, also economic. Certain patients can afford things, certain patients can’t. Second-biggest city in Washington, at the same time, driving down the road, see ten people taking drugs in the street in the middle of a weekday. Can also be racial judgment, some nurses might rush treatment of Spanish patients compared to white patients. Leads to differences, even subtle ones, in quality of care. Everywhere I volunteered, I was considered an outsider. In India, I was an outsider for the graphic tees I wore, for the slight stumble in my Telugu conjugations. And in Spokane, I was an outsider for my brown skin, for the fact that I lived in Seattle, and for my Indian accent. But being considered an outsider comes with its own advantages. While volunteering in the Andhra Pradesh villages, I’d often hear patients complaining that they couldn’t understand the doctor’s Telugu dialect, and they didn’t understand the science behind medicine. I empathized with these villagers because I sometimes struggled to understand the doctors. But who was to blame for this miscommunication? I eventually realized that the problem spanned decades back. These villages had become so unprofitable for clinics, that they couldn’t afford to open here. This has caused future generations to grow up without much healthcare, thus widening the knowledge gap between cities and rural villages, perpetuating the problem. In Spokane, I saw nurses shy away from Mexican patients, spending less time in their rooms, similar to how they avoided asking me for help in favor of a more local volunteer. I saw these patients shy away from asking questions, choosing to ask me instead, in their eyes, a fellow outsider. With this outsider view into healthcare, I’ve realized, all patients should feel like they are the most important. Not only does this increase their confidence in the healthcare system, but it also boosts their confidence in their own survival and recovery. And saving as many patients as possible is what healthcare is all about.",Healthcare and Community Service
Brown,3 Words Brown,"The prompt likely asked the writer to reflect on a personal motto, phrase, or slogan that has significantly influenced their life or decision-making.",Just Do It,Embracing Curiosity and Creativity
Brown,Joy Public Version - 250,"Brown students care deeply about their work and the world around them. Students find contentment, satisfaction, and meaning in daily interactions and major discoveries. Whether big or small, mundane or spectacular, tell us about something that brings you joy.","I try to work on my time-travel sci-fi novel every night. Testing whether certain clues in my mystery subplot make sense with my brother has given us an arsenal of secret codes between ourselves: “hollow” means our mum is in a bad mood, comparing her to a quite strict character, Ms. Holloway, and “airvent” means ‘listen carefully’, referring to how the protagonist is caught eavesdropping through air vents in the first chapter.

Despite this, I mostly write for myself. Writing my novel has taught me a lot about myself: I’m a passionate plotter and I hate dishonesty, even in the characters I’ve created. Yet, while writing my novel, I rarely follow the outline I’ve created to a dot. Instead, I go on a journey, exploring a world while creating it, only referring to the outline when I’m stuck. Writing feels more like a conversation between my imagination and myself, where I can dream, and remember those dreams, and revise those dreams. More importantly, writing gives me a space to lose myself and find myself, and there lies a great joy in both.",Personal Growth Through Relationships
Boston University,BU essay,What about being a student at BU most excites you? How do you hope to contribute to our campus community?,"Every day at BU RISE, I’d catch the 8:30 AM Green Line subway. During the day, I’d research Parkinson's in the Metcalf Science Center, with lunch at Marciano’s. But at RISE, I wasn’t just a researcher; I was an explorer. I studied neural circuits and subway maps; I learned about RNAi and played volleyball at Assembly Row; and at night, I admired the stars and the city skyline. 
BU’s emphasis on early research engagement, something I saw clearly during RISE, is what excites me most. I could join the Neurophotonics Center or the Center for Systems Neuroscience to study addiction-related circuitry, joining as a neural circuit modeller, building off of skills I learnt at RISE. But of course, BU is more than just a place for research. I’d continue the tradition I started during RISE of walking to Insomnia Cookies with my friends each Saturday night, I’d play volleyball in the various lounges, and most importantly, I’d carry my chess board in my backpack. I remember playing blitz games in the Rich Hall Lounge. Next year, at BU, I’m excited to continue playing these blitz games at Mugar Memorial Library, and late-night matches in my Rich Hall or Warren Towers dorm. 
Apart from just BU, the Boston chess scene is very active. I’d join the Boylston Chess Foundation, learning from the grandmasters that visit their meetings. Using my experience in teaching chess, I’d look for work at Chess Wizards, and volunteer in my free time by teaching chess through Street Chess, a local Boston NGO that focuses on bridging gaps through chess. 
Next fall, I hope to be back in BU, this time for a bit longer, to build stronger relationships, engage in more research, and connect with the city of Boston through chess.",Passion for Teaching Chess
Penn State,honors penn state,"If you had 20 minutes to pitch a transformational idea (an idea that affects or would influence a significant percentage of the populace), what would you pitch and why? Explain your thought process. Are there similar solutions already established and how might your idea enhance those solutions? How would this idea change the current state of things? How would you leverage your personal experiences and professional goals to make this idea a reality?","I would pitch FreeCode, an intuitive IDE (integrated development environment) that, instead of processing only lines of code, would interpret typed text, diagrams, scribbles, even drawings, capturing the intent of the user without requiring memorized syntax. In other words, it would let people communicate ideas to a computer the way they already think, whether that’s through words, visuals, or sketches. I imagine a world where a kid could draw out an idea for a game the way they’d sketch in a notebook, or where someone in a small town without a coding teacher could build a tool that makes their life easier. I imagine classrooms where coding is treated not as a technical skill for a few, but as a creative outlet for everyone, similar to writing or painting. In the last 30 years, complex coding algorithms have completely changed the world, from the ‘Cloud’, to encryption. But learning to code complex algorithms has an extremely high barrier to entry. It requires not only a teacher who understands logic, but also one who can explain the “grammar” of code: syntax rules, formatting, and exceptions. Furthermore, to fully build an application, you often need to juggle multiple languages, each with its own quirks. When I was working on my model, ABIGAIL, I had to use R to break down chemical data and Python to construct the neural network. Sometimes, I felt like I was translating between dialects I hadn’t fully mastered. I wasn’t limited by my ideas, but by the steep learning curve of syntax. FreeCode would solve all these problems by allowing anyone to code in whatever medium they preferred - visual, written, even auditory - without harping on syntax or format. In this world, you wouldn’t have to start as a “coder” before you become a “creator.” Anyone, anywhere, with nothing more than curiosity and imagination, could turn their thoughts into something real. Currently, there are about five million casual and professional developers in the U.S. With FreeCode, that number could grow exponentially. Seventy-eight percent of U.S. adults own computers, and suddenly, every one of them could have a way into coding. With an exponential increase in the number of algorithms worldwide, creation itself would increase. More people coding means more tools being built (apps, websites, algorithms) to solve problems we haven’t even imagined yet. And when we change the way people approach coding, allowing them to sketch, write, or diagram instead of memorizing commands, we change the way they approach problems. Suddenly, the act of coding isn’t reserved for those with access to the right teachers or enough patience to master syntax. It becomes something natural, something intuitive. This shift would be especially important for communities and areas where coding instruction isn’t easily accessible. Today, even if someone can teach themselves syntax, they still need guidance to understand the deeper logic behind programming. FreeCode users could experiment and discover on their own, drawing out their ideas and watching them come to life. Instead of struggling through the reputation of coding as “boring” or “difficult,” children could jump straight into the fun part: designing. However, actualizing FreeCode won’t be as simple as throwing together a couple of diagrams and complementing with some code. Truly creating FreeCode would require building an AI capable of interpreting not just words, but the intention behind a sketch or pseudocode. Models like GPT and Claude already convert text into functional code; FreeCode would take this a step further, training AI to recognize visual logic and translate it into runnable programs. Considering the rate of AI progress in visual construction and decomposition, audio to transcription, and the exponentially increasing amount of investment into the AI market, it is likely that within 7-12 years, this type of technology will be available. This whole process will require engineers and data scientists along with investors and product visionaries. I see myself leading the development of FreeCode by visualizing the final product, while supporting the team by pitching to venture capitalists. With my rudimentary knowledge in AI, I could also check in with the engineering team, making sure we meet investor milestones. Eventually, I know we will be able to release FreeCode and watch it change the world forever.",Neuroscience and Artificial Intelligence Integration
GWU,BSMD Community DC - 400 Words,The prompt likely asked for an explanation of how the applicant's interests and experiences align with the opportunities and values of a specific medical school's program.,"While touring biotech companies during my time at RISE, I asked them whether they were looking into Alzheimer’s treatments. Nearly 80% said no. Their reasoning was consistent: Alzheimer’s research is too slow, too costly, and too uncertain to attract investment. For me, this was upsetting. After I had researched for months on Alzheimer’s drug generation, I knew the impact biotech companies could have on the millions of families that struggle with Alzheimer’s, and I knew I wanted to change the mindset the biotech industry had towards Alzheimer’s research. The Hippocratic Oath isn’t just for the hospital; it’s a lifestyle that I’d adopt as a physician. Hence, I’d care for my patients when I’m wearing the white coat, AND when I’m not. While wearing the white coat, I'd perform surgeries, and while I’m not, I’d advocate for increased Alzheimer’s funding, and start research of my own.

George Washington University’s SMHS allows me to begin caring long before earning my white coat. Through the Clinical Public Health Curriculum, I’d learn how policy decisions, funding, and social determinants indirectly shape patient outcomes through grants and legislation. The Rodham Institute would allow me to work directly with communities in DC, particularly Wards 7 and 8, where chronic disease and maternal mortality rates remain high. Rather than studying disparities in textbooks, I could help design community-based interventions in collaboration with residents themselves. Lastly, through the Health Equity Scholars Program I’d research how systemic neglect (like the lack of investment in Alzheimer’s) translates into local inequities in patient care. DC itself offers opportunities no other city can. Through GW’s student-run free clinics, I could provide direct care to underserved patients while learning from organizations like Whitman-Walker Health and Unity Health Care, which model innovative care for HIV patients, and the unhoused. I volunteer at Deaconess Hospital in Spokane, WA, and by taking vitals, moving, and talking to the patients, I’ve built skills that can greatly help me volunteer in GW’s free clinics. And in the nation’s capital, I can share patient stories to agencies like the NIH and HRSA, allowing me to fight for increased funding for underrepresented diseases like Alzheimer’s. When I think back to those biotech tours, I realize that solving problems like Alzheimer’s requires more than scientific breakthroughs; it requires physicians who amplify suffering patients’ voices. At GW, I will gain the skills to fight for those voices, whether in the exam room, in DC communities, or at the policy table. With my white coat, as a physician, I’ll ensure that every patient, no matter their condition or how overlooked their disease is, knows they have an advocate in me.",Healthcare and Community Service
GWU,Changing History - 500 Words,"If you had the power to change the course of history in your community or the world, what would you do and why?","March 2020. Each day, I’d wake up and look up ‘Covid deaths in the US’, and smile as the map showed I was safe. I’d play chess with my brother, and run around the house. But as the weeklong vacation stretched into a year, and the red dots showing outbreaks inched closer towards Seattle, WA, I began to feel scared. Luckily, online school gave me an avenue to distract myself from the horrors of COVID.

March 2021. As part of the second semester of 8th Science Honors, I had to present on HIV/AIDS. I collected mortality rates, and infection pathways. Initially, all I focused on was the rubric, but as the printed reports scattered on my desk of increased anti-LGBTQ violence during the 80s began to remind me of the anti-Asian violence being covered on CNN, I started to feel scared of not just the virus, but of other humans.

April 2021. Presentation day. I unmuted myself, staring at an array of blank screens, apart from my teacher’s smiling face. I covered the mechanism of HIV, how it spread, mortality rates, and concluded with its impact on the LGBTQ community, earning all the points, but I wasn’t finished. On my last slide, all I had written was ‘History repeats itself’. I explained the patterns I had found between the violence during the HIV pandemic and COVID, speaking passionately until the teacher muted me through Teams.

That HIV/AIDS project taught me that nobody is safe from the injustice faced by one. The violence endured during the 1980s, the misinformation spread about HIV, and the government’s inability to educate the public - artifacts from the past (or so I’d believed) - had returned 40 years later. If I could change history, I would ensure that early warnings about HIV/AIDS were met with urgency rather than dismissal. I would see that government leaders spoke honestly, that scientists received immediate support and funding from the NIH, and that communities were empowered to protect themselves without fear of judgment or violence. And perhaps, this history would’ve repeated itself in 2020.

Unfortunately, I can’t change history, but at GWU, I see a path to shape the future of healthcare justice. Through GWU’s Bioengineering program and Global Health Studies, I can explore how data-based and engineering solutions intersect with public health, from designing affordable diagnostic tools to improving vaccine distribution systems. Participating in Epidemiology & Public Health initiatives will give me hands-on experience analyzing health data, understanding community needs, and designing interventions that prevent both disease and discrimination. Beyond the classroom, D.C. provides access to organizations like the NIH, CDC, and NGOs like PSI and Project HOPE, which I can partner with to help HIV prevention and digitization of health systems. Through GWU, I will turn my knowledge into bioengineering innovations and advocacy, creating a future where an eighth grader in 2100 studying 21st-century healthcare equity will hope history repeats itself because the past was made so just and equitable.",Healthcare and Community Service
GWU,Meaningful Dialogue - 500 Words,"Describe a time when you engaged others in meaningful dialogue around an issue that was important to you. Did this exchange create change, new perspectives, or deeper relationships?","During my junior year of high school, I had the opportunity to lead a discussion on climate change in my environmental science class. The topic was not only important to me, but it was also a pressing issue that affected our community and the world at large. I wanted to create a space where my classmates could express their thoughts and feelings about climate change, and hopefully inspire them to take action.

I began by presenting some alarming statistics about rising global temperatures and the impact of climate change on our local environment. I could see the concern on my classmates' faces, but I also noticed a sense of helplessness. Many felt that the problem was too big for any individual to tackle. I wanted to shift that mindset, so I encouraged an open dialogue where everyone could share their opinions and experiences related to the issue.

As we discussed, I asked my classmates to think about how climate change affected their lives personally. One student shared how her family’s farm had been impacted by unpredictable weather patterns, while another spoke about the increase in allergies and respiratory issues in our community. Hearing these personal stories made the issue more tangible and relatable. It was clear that climate change was not just a distant problem; it was affecting us right here and now.

I then introduced the idea of local action. I proposed that we organize a community clean-up day to raise awareness about pollution and its effects on our environment. To my surprise, my classmates were enthusiastic about the idea. We brainstormed ways to promote the event, including creating posters and using social media to reach a wider audience. The energy in the room shifted from despair to empowerment, and I could see that my classmates were beginning to feel that they could make a difference.

The clean-up day was a success. We gathered a group of over fifty students and community members, and together we collected trash from local parks and waterways. The event not only beautified our community but also sparked conversations about sustainability and environmental responsibility. After the clean-up, we held a reflection session where participants shared their thoughts on the experience. Many expressed a newfound commitment to being more environmentally conscious in their daily lives.

This experience taught me the power of dialogue and community engagement. By creating a space for meaningful conversation, I was able to help my classmates see the importance of their individual actions in the fight against climate change. It also deepened my relationships with my peers, as we bonded over our shared commitment to making a positive impact. I learned that change often starts with a conversation, and I am inspired to continue fostering dialogue around important issues in the future.",Personal Growth Through Relationships
Columbia,Why Columbia - 150 Words NOT DONE,Why are you interested in attending Columbia University? We encourage you to consider the aspect(s) that you find unique and compelling about Columbia. (150 words or fewer)*,"It’s 3 a.m., the fireplace crackling behind me. My friends - Abhinav, Zirui, Amogh, and Rain - are crowded around a game of Exploding Kittens, but no one is paying attention. Instead, we’re debating: Can technology ever be truly objective? What does “progress” mean? Columbia’s Core Curriculum excites me because it formalizes the kind of late-night conversations I already enjoy. In Contemporary Civilization and Frontiers of Science, I’d learn about ethical responsibility and scientific uncertainty, then carry those ideas into Biomedical Engineering Design and Biomedical Signals and Systems, where I’d design a novel drug delivery system, while considering all effects of innovation. With all students reading shared texts, conversations won’t stay confined to the classroom - they’ll spill into Carman lounges after Lit Hum, into late-night study rooms in Lerner, and into lab benches in the BME Design Studio. Columbia ensures discussion is part of engineering, thus fostering collaboration and creativity.",Neuroscience and Artificial Intelligence Integration
Columbia,why major,"The prompt likely asked the applicant to discuss their relevant experiences and goals, explaining why they are interested in a particular program at a specific university and how it aligns with their academic and career aspirations.","My journey with research started during early mornings, coding algorithms that learnt about properties of cancer drugs repurposed for Alzheimer’s, while I learnt about activation and loss functions. I modelled neuron interactions at RISE, where I derived an index predicting Parkinson’s likelihood. At the same time, I co-developed a device to reduce toxic waste from power plants, iterating through physical prototypes and calibrating sensors.
Biomedical Engineering at Columbia is the clearest way for me to combine my computational research with hands-on prototyping. I’d build models that identify novel biomarkers for Alzheimer’s at the Biomarker Core Lab, designing in the Columbia Nano Initiative would let me propose a new drug-delivery system using magnetic nanotechnology, and the collaborative culture at SEAS would allow me to learn undergraduate presentation skills and insider tips from upperclassmen. Bioengineering at Columbia offers a supportive environment to refine my technical skills while developing technologies that advance medicine.",Neuroscience and Artificial Intelligence Integration
Columbia,Contribution to UG - 150 Words,"Tell us about an aspect of your life so far or your lived experience that is important to you, and describe how it has shaped the way you would learn from and contribute to Columbia's multidimensional and collaborative environment.","Everyday during my 6 weeks at RISE, I’d catch the 8:30 AM Green Line subway. For the next 8 hours, I’d research Parkinson's neuronal modeling. But at RISE, I wasn’t just a researcher; I was an explorer. I studied neural circuits and subway maps; I learned about RNAi at the biotech giant Alnylam and played volleyball at Assembly Row; I admired the stars and the skyline while practicing tennis. Having already explored Boston, I’m ready to explore an even larger city: New York. At Columbia, I’d continue to research while exploring NYC through public transit. After lectures at Mudd Building, I’d take the M116 to Central Park to play chess or tennis. After hours in the lab, my labmates and I would discuss our research over ice cream at Trudy’s. Through the subway, I’d do lab research, and navigate New York as both a scientist and an explorer. And during August, I’d take the A and E lines to watch the US Open at Flushing Meadows.",Neuroscience and Artificial Intelligence Integration
Columbia,Disagreement - 150 Words,"At Columbia, students representing a wide range of perspectives are invited to live and learn together. In such a community, questions and debates naturally arise. Please describe a time when you did not agree with someone and discuss how you engaged with them and what you took away from the interaction. (150 words or fewer)","After watching The Prestige with my brother Akhi, we slipped into our usual post-movie debate. “Who’s the better character?” I asked.

        I went with Borden, while Akhi went with Angier. I loved Borden’s ambition and dedication to his craft, while my brother liked Angier’s drive to understand Borden’s secret. I saw Angier as a corner-cutting charlatan, while Akhi saw Borden as a Machiavellianistic monster. But as we debated, I realized what I saw as dedication, Akhi saw as obsession, and what he saw as drive, I saw as fanaticism.
        
        We eventually agreed to disagree, settling into our covers. But I stayed awake. We’d interpreted the same material differently, just as scientists may interpret data differently. But why? Perhaps, I thought, our debate revealed more about us, than the characters we were discussing. Perhaps, our disagreements helped us to understand each other better.",Personal Growth Through Relationships
Columbia,Challenge/Adversity - 150 Words,"In college/university, students are often challenged in ways that they could not anticipate. Please describe a situation in which you have navigated through adversity and discuss how you changed as a result. (150 words or fewer)*","People say to reach for the stars, because then you’ll land on the moon. But when I land on the moon, I don’t look back at Earth, I still stare at the stars. Perfectionism leaked into all aspects of my life. When I won a first place award at a science fair, I wished I’d qualified for internationals. When I made varsity doubles, I wished I’d made singles. When I hit 100,000 views on my blog, I wished for an extra 0. Although this perfectionism gave me considerable success, it also left me with a hollow feeling and eventually burnout. To get out of burnout, I began measuring my effort rather than results. I began tracking hours of coding, playing tennis, and writing for my blog. Now whenever I land on the moon, my ambition still strives towards the stars, but I appreciate how high above Earth I am.",Personal Growth Through Relationships
Columbia,Content - 100 Words,"List a selection of texts, resources and outlets that have contributed to your intellectual development outside of academic courses, including but not limited to books, journals, websites, podcasts, essays, plays, presentations, videos, museums and other content that you enjoy. (100 words or fewer)*","Books: What If?, Educated; Atomic Habits; Outlive

Podcasts: Huberman Lab

YouTube Channels: Cleo Abram; Veritasium; 3Blue1Brown

Journals: BrainFacts; The Week; Nature Neuroscience

Ted Talks: The mysterious workings of the adolescent brain; A mouse. A laser beam. A manipulated memory; Why do we sleep?; We Are Our Connectome; The Wonderful and Terrifying Implications of Computers that can Learn

Commencement Speeches: Steve Jobs’ Stanford 2005 speech; Roger Federer’s Dartmouth 2024 speech; Conan O’Brien’s Dartmouth 2011 speech; JK Rowling’s Harvard 2008 speech; and Bill Gates’ NAU 2007 speech; David Foster Wallace’s Kenyon College 2005 speech",Passion for Teaching Chess
Columbia,Short Challenge (not gonna be used just for storage),"Describe a time when you faced a challenge, how you approached it, and what you learned from the experience.","Practice makes perfect, especially for rocketry. On the day of our official launch, remembering this aphorism, I decided to take a practice launch first. The test went perfectly, but as we set up for the real flight, raindrops began to fall. With a storm looming, I urged our team to move fast. Our rocket, Betelgeuse, lifted off smoothly, but its parachute failed, and it crashed.
The next day, I led a meeting, assigning teammates to rebuild critical parts. In two days, we assembled Betelgeuse 2.0 from spares and raced to the launch site, just hours before the deadline. Under pressure, I skipped the practice run. We launched but missed the cutoff by 0.5 points.
From this, I learned to balance perfection with practicality. Practice has its own time, but sometimes, the time you lose from practice is more valuable than the practice itself.",Personal Growth Through Relationships
Cornell,Define Community - 350 Words,"We all contribute to, and are influenced by, the communities that are meaningful to us. Share how you’ve been shaped by one of the communities you belong to.","Throughout my life, Telugu stories, whether the latest theater release or my parents’ childhood favorites, have shaped how I face challenges and connect with others. Growing up Telugu, I’ve watched countless Telugu films in the theater: almost always, the hero will struggle, fail, and face setbacks. After a quick intermission, my family and I watch as the hero comes back stronger, usually with a hit song or soundtrack accompanying his comeback. Over the last four years, I’ve started using these songs as personal motivators. When I hit an error in my code or a writing block, I play these songs/soundtracks and imagine myself as the hero, fighting the imaginary bugs or the mental block. Apart from Telugu movies running in theaters, our family explored films and songs from my parents’ childhood. In these older movies, I noticed how each hero had their own Telugu friend group. And slowly I began to look for those friends in my own life. Over the last four years, I’ve found my own Telugu community, a community not of aunties and uncles dancing to older songs, but of kids my age. Aryan who sent me Telugu reels and memes, Vedant who made incredible dosas, and Rahoul who joined in with my Telugu humming. While studying for APs, Aryan’s Telugu jokes kept our spirits up. While building NNANO, Vedant cooked dosas while I made the chutney, and we all enjoyed a much needed break. While going on runs, Rahoul and I shared our Telugu song playlists with each other. These moments show the impact being Telugu has had on my life. It has helped me discover myself: someone who can overcome anything with the right soundtrack. But being Telugu has also let me discover a community of friends which acts as that soundtrack - and vice versa. At Cornell, I’ll join a Telugu community where I can still share my Telugu soundtracks, discuss dosa recipes, and share memes in Telugu. And in all the other communities I join, I know I’ll be able to share my Telugu background and learn about other Cornellians’ cultures.",Cultural Identity and Personal Growth
Cornell,Why Cornell Engineering - 200 Words,The prompt likely asked the applicant to explain why they want to attend a specific engineering program and how it aligns with their interests and goals.,"Engineering without practical application is futile. Engineering without creativity is boring. I’ve always tried to balance both, a balance that Cornell Engineering embodies.

When building ABIGAIL, I loved modelling 3 different dimensions rather than the usual two, just one of the many ways I was creative with ABIGAIL’s code. But I knew what made ABIGAIL a worthy project was its impact on Alzheimer's. Cornell Neurotech, a truly unique interdisciplinary research team, seems to have this same creative practicality approach that I took with ABIGAIL. They model neural circuits to understand everything from social interactions to vision. After joining Cornell Neurotech, I’d try to introduce a focus in modelling Tau-Tangles, a key symptom of Alzheimer’s.

I’d also join Cornell’s student-led engineering teams, channeling my rocketry spirit by helping design Cornell’s annual Mars Rover and researching synthetic biology in Cornell’s iGEM team (this year, their topic is Martian plant growth!). I’d also use Cornell Engineering’s Duffield Hall and Upson Hall to work on individual projects, developing new drug-delivery systems in their nanotech spaces, and build physical neural sensors in the maker spaces.

Cornell Engineering is where I can balance my curiosity and creativity with practicality, making things that will change the world.",Neuroscience and Artificial Intelligence Integration
Cornell,Why Engineering - 200 words,Why do you want to study engineering?,"Before I learnt about formal circuit schematics, I was using those same schematics to model neurons at RISE. I learnt about capacitors and resistors in the context of membrane potentials and ion channels, and through basic derivatives and Python, I learnt to model a neuron through voltage equations. Eventually, I derived an index that predicted Parkinson’s likelihood. However, my journey with biocomputation first started during early mornings, coding algorithms that learnt about properties of cancer drugs repurposed for Alzheimer’s, while I learnt about activation and loss functions. My models slowly evolved from predicting properties to generating novel Alzheimer's inhibitors. At the same time, my hands itched to do something more than type, so I led a group to develop a physical device that reduced toxic waste from power plants. I connected tubes and valves, attaching arduino circuit boards and calibrating pH sensors. After ordering parts, testing chemistry in our classrooms, and building through the night, we had an initial testable prototype. Bioengineering combines the physical building my hands love with the mystery of biology my brain loves, allowing me to fight medical problems by creating newer, more efficient, computational software and physical devices.",Neuroscience and Artificial Intelligence Integration
Cornell,Joy - 100 Words,What brings you joy?,"How would you show the world to a blind person? I would play them music. The sun rising over the ocean’s horizon is Zimmer’s Cornfield Chase. Alphaville’s Forever Young is a Polaroid photo from my childhood. The Weeknd’s Starboy is the night sky during a car ride through the woods.  

My playlist takes me from the grief in Summertime Sadness by Lana Del Rey to feeling invincible while listening to Timeless by the Weeknd. But no matter the song, when I wear my white wired earplugs and close my eyes, ordinary moments become extraordinary, and that gives me joy.",Personal Growth Through Relationships
